ID, month, day, hour, minute, accumulated minutes, temperature, rainfall, relative humidity
1701295020,11,30,5,57,357,19.54,0.38,83.59
1701295080,11,30,5,58,358,19.54,0.38,83.59
1701295140,11,30,5,59,359,19.54,0.38,83.59
1701295200,11,30,6,0,360,19.54,0.38,83.59
1701295260,11,30,6,1,361,19.54,0.38,83.59
1701295320,11,30,6,2,362,19.54,0.38,83.59
1701295380,11,30,6,3,363,19.54,0.38,83.59
1701295440,11,30,6,4,364,19.54,0.38,83.59
1701295500,11,30,6,5,365,19.54,0.38,83.59
1701295560,11,30,6,6,366,19.54,0.38,83.59
1701295620,11,30,6,7,367,19.54,0.38,83.59
1701295680,11,30,6,8,368,19.54,0.38,83.59
1701295740,11,30,6,9,369,19.54,0.38,83.59
1701295800,11,30,6,10,370,19.54,0.38,83.59
1701295860,11,30,6,11,371,19.54,0.38,83.59
1701295920,11,30,6,12,372,19.54,0.38,83.59
1701295980,11,30,6,13,373,19.54,0.38,83.59
1701296040,11,30,6,14,374,19.54,0.38,83.59
1701296100,11,30,6,15,375,19.54,0.38,83.59
1701296160,11,30,6,16,376,19.54,0.38,83.59
1701296220,11,30,6,17,377,19.54,0.38,83.59
1701296280,11,30,6,18,378,19.54,0.38,83.59
1701296340,11,30,6,19,379,19.54,0.38,83.59
1701296400,11,30,6,20,380,19.54,0.38,83.59
1701296460,11,30,6,21,381,19.54,0.38,83.59
1701296520,11,30,6,22,382,19.54,0.38,83.59
1701296580,11,30,6,23,383,19.54,0.38,83.59
1701296640,11,30,6,24,384,19.54,0.38,83.59
1701296700,11,30,6,25,385,19.54,0.38,83.59
1701296760,11,30,6,26,386,19.54,0.38,83.59
1701296820,11,30,6,27,387,19.54,0.38,83.59
1701296880,11,30,6,28,388,19.54,0.38,83.59
1701296940,11,30,6,29,389,19.54,0.38,83.59
1701297000,11,30,6,30,390,19.54,0.38,83.59
1701297060,11,30,6,31,391,19.54,0.38,83.59
1701297120,11,30,6,32,392,19.54,0.38,83.59
1701297180,11,30,6,33,393,19.54,0.38,83.59
1701297240,11,30,6,34,394,19.54,0.38,83.59
1701297300,11,30,6,35,395,19.54,0.38,83.59
1701297360,11,30,6,36,396,19.54,0.38,83.59
1701297420,11,30,6,37,397,19.54,0.38,83.59
1701297480,11,30,6,38,398,19.54,0.38,83.59
1701297540,11,30,6,39,399,19.54,0.38,83.59
1701297600,11,30,6,40,400,19.54,0.38,83.59
1701297660,11,30,6,41,401,19.54,0.38,83.59
1701297720,11,30,6,42,402,19.54,0.38,83.59
1701297780,11,30,6,43,403,19.54,0.38,83.59
1701297840,11,30,6,44,404,19.54,0.38,83.59
1701297900,11,30,6,45,405,19.54,0.38,83.59
1701297960,11,30,6,46,406,19.54,0.38,83.59
1701298020,11,30,6,47,407,19.54,0.38,83.59
1701298080,11,30,6,48,408,19.54,0.38,83.59
1701298140,11,30,6,49,409,19.54,0.38,83.59
1701298200,11,30,6,50,410,19.54,0.38,83.59
1701298260,11,30,6,51,411,19.54,0.38,83.59
1701298320,11,30,6,52,412,19.54,0.38,83.59
1701298380,11,30,6,53,413,19.54,0.38,83.59
1701298440,11,30,6,54,414,19.54,0.38,83.59
1701298500,11,30,6,55,415,19.54,0.38,83.59
1701298560,11,30,6,56,416,19.54,0.38,83.59
1701298620,11,30,6,57,417,19.54,0.38,83.59
1701298680,11,30,6,58,418,19.54,0.38,83.59
1701298740,11,30,6,59,419,19.54,0.38,83.59
1701298800,11,30,7,0,420,19.54,0.38,83.59
1701298860,11,30,7,1,421,19.54,0.38,83.59
1701298920,11,30,7,2,422,19.54,0.38,83.59
1701298980,11,30,7,3,423,19.54,0.38,83.59
1701299040,11,30,7,4,424,19.54,0.38,83.59
1701299100,11,30,7,5,425,19.54,0.38,83.59
1701299160,11,30,7,6,426,19.54,0.38,83.59
1701299220,11,30,7,7,427,19.54,0.38,83.59
1701299280,11,30,7,8,428,19.54,0.38,83.59
1701299340,11,30,7,9,429,19.54,0.38,83.59
1701299400,11,30,7,10,430,19.54,0.38,83.59
1701299460,11,30,7,11,431,19.54,0.38,83.59
1701299520,11,30,7,12,432,19.54,0.38,83.59
1701299580,11,30,7,13,433,19.54,0.38,83.59
1701299640,11,30,7,14,434,19.54,0.38,83.59
1701299700,11,30,7,15,435,19.54,0.38,83.59
1701299760,11,30,7,16,436,19.54,0.38,83.59
1701299820,11,30,7,17,437,19.54,0.38,83.59
1701299880,11,30,7,18,438,19.54,0.38,83.59
1701299940,11,30,7,19,439,19.54,0.38,83.59
1701300000,11,30,7,20,440,19.54,0.38,83.59
1701300060,11,30,7,21,441,19.54,0.38,83.59
1701300120,11,30,7,22,442,19.54,0.38,83.59
1701300180,11,30,7,23,443,19.54,0.38,83.59
1701300240,11,30,7,24,444,19.54,0.38,83.59
1701300300,11,30,7,25,445,19.54,0.38,83.59
1701300360,11,30,7,26,446,19.54,0.38,83.59
1701300420,11,30,7,27,447,19.54,0.38,83.59
1701300480,11,30,7,28,448,19.54,0.38,83.59
1701300540,11,30,7,29,449,19.54,0.38,83.59
1701300600,11,30,7,30,450,19.54,0.38,83.59
1701300660,11,30,7,31,451,19.54,0.38,83.59
1701300720,11,30,7,32,452,19.54,0.38,83.59
1701300780,11,30,7,33,453,19.54,0.38,83.59
1701300840,11,30,7,34,454,19.54,0.38,83.59
1701300900,11,30,7,35,455,19.54,0.38,83.59
1701300960,11,30,7,36,456,19.54,0.38,83.59
1701301020,11,30,7,37,457,19.54,0.38,83.59
1701301080,11,30,7,38,458,19.54,0.38,83.59
1701301140,11,30,7,39,459,19.54,0.38,83.59
1701301200,11,30,7,40,460,19.54,0.38,83.59
1701301260,11,30,7,41,461,19.54,0.38,83.59
1701301320,11,30,7,42,462,19.54,0.38,83.59
1701301380,11,30,7,43,463,19.54,0.38,83.59
1701301440,11,30,7,44,464,19.54,0.38,83.59
1701301500,11,30,7,45,465,19.54,0.38,83.59
1701301560,11,30,7,46,466,19.54,0.38,83.59
1701301620,11,30,7,47,467,19.54,0.38,83.59
1701301680,11,30,7,48,468,19.54,0.38,83.59
1701301740,11,30,7,49,469,19.54,0.38,83.59
1701301800,11,30,7,50,470,19.54,0.38,83.59
1701301860,11,30,7,51,471,19.54,0.38,83.59
1701301920,11,30,7,52,472,19.54,0.38,83.59
1701301980,11,30,7,53,473,19.54,0.38,83.59
1701302040,11,30,7,54,474,19.54,0.38,83.59
1701302100,11,30,7,55,475,19.54,0.38,83.59
1701302160,11,30,7,56,476,19.54,0.38,83.59
1701302220,11,30,7,57,477,19.54,0.38,83.59
1701302280,11,30,7,58,478,19.54,0.38,83.59
1701302340,11,30,7,59,479,19.54,0.38,83.59
1701302400,11,30,8,0,480,19.54,0.38,83.59
1701302460,11,30,8,1,481,19.54,0.38,83.59
1701302520,11,30,8,2,482,19.54,0.38,83.59
1701302580,11,30,8,3,483,19.54,0.38,83.59
1701302640,11,30,8,4,484,19.54,0.38,83.59
1701302700,11,30,8,5,485,19.54,0.38,83.59
1701302760,11,30,8,6,486,19.54,0.38,83.59
1701302820,11,30,8,7,487,19.54,0.38,83.59
1701302880,11,30,8,8,488,19.54,0.38,83.59
1701302940,11,30,8,9,489,19.54,0.38,83.59
1701303000,11,30,8,10,490,19.54,0.38,83.59
1701303060,11,30,8,11,491,19.54,0.38,83.59
1701303120,11,30,8,12,492,19.54,0.38,83.59
1701303180,11,30,8,13,493,19.54,0.38,83.59
1701303240,11,30,8,14,494,19.54,0.38,83.59
1701303300,11,30,8,15,495,19.54,0.38,83.59
1701303360,11,30,8,16,496,19.54,0.38,83.59
1701303420,11,30,8,17,497,19.54,0.38,83.59
1701303480,11,30,8,18,498,19.54,0.38,83.59
1701303540,11,30,8,19,499,19.54,0.38,83.59
1701303600,11,30,8,20,500,19.54,0.38,83.59
1701303660,11,30,8,21,501,19.54,0.38,83.59
1701303720,11,30,8,22,502,19.54,0.38,83.59
1701303780,11,30,8,23,503,19.54,0.38,83.59
1701303840,11,30,8,24,504,19.54,0.38,83.59
1701303900,11,30,8,25,505,19.54,0.38,83.59
1701303960,11,30,8,26,506,19.54,0.38,83.59
1701304020,11,30,8,27,507,19.54,0.38,83.59
1701304080,11,30,8,28,508,19.54,0.38,83.59
1701304140,11,30,8,29,509,19.54,0.38,83.59
1701304200,11,30,8,30,510,19.54,0.38,83.59
1701304260,11,30,8,31,511,19.54,0.38,83.59
1701304320,11,30,8,32,512,19.54,0.38,83.59
1701304380,11,30,8,33,513,19.54,0.38,83.59
1701304440,11,30,8,34,514,19.54,0.38,83.59
1701304500,11,30,8,35,515,19.54,0.38,83.59
1701304560,11,30,8,36,516,19.54,0.38,83.59
1701304620,11,30,8,37,517,19.54,0.38,83.59
1701304680,11,30,8,38,518,19.54,0.38,83.59
1701304740,11,30,8,39,519,19.54,0.38,83.59
1701304800,11,30,8,40,520,19.54,0.38,83.59
1701304860,11,30,8,41,521,19.54,0.38,83.59
1701304920,11,30,8,42,522,19.54,0.38,83.59
1701304980,11,30,8,43,523,19.54,0.38,83.59
1701305040,11,30,8,44,524,19.54,0.38,83.59
1701305100,11,30,8,45,525,19.54,0.38,83.59
1701305160,11,30,8,46,526,19.54,0.38,83.59
1701305220,11,30,8,47,527,19.54,0.38,83.59
1701305280,11,30,8,48,528,19.54,0.38,83.59
1701305340,11,30,8,49,529,19.54,0.38,83.59
1701305400,11,30,8,50,530,19.54,0.38,83.59
1701305460,11,30,8,51,531,19.54,0.38,83.59
1701305520,11,30,8,52,532,19.54,0.38,83.59
1701305580,11,30,8,53,533,19.54,0.38,83.59
1701305640,11,30,8,54,534,19.54,0.38,83.59
1701305700,11,30,8,55,535,19.54,0.38,83.59
1701305760,11,30,8,56,536,19.54,0.38,83.59
1701305820,11,30,8,57,537,19.54,0.38,83.59
1701305880,11,30,8,58,538,19.54,0.38,83.59
1701305940,11,30,8,59,539,19.54,0.38,83.59
1701306000,11,30,9,0,540,19.54,0.38,83.59
1701306060,11,30,9,1,541,19.54,0.38,83.59
1701306120,11,30,9,2,542,19.54,0.38,83.59
