ID (Epoch timestamp), month, day, hour, minute, accumulated minutes, temperature, rainfall, relative humidity
1701555300,12,3,6,15,375,375,18.96,0.76,85.32
1701555360,12,3,6,16,376,376,18.96,0.76,85.32
1701555420,12,3,6,17,377,377,18.96,0.76,85.32
1701555480,12,3,6,18,378,378,18.96,0.76,85.32
1701555540,12,3,6,19,379,379,18.96,0.76,85.32
1701555600,12,3,6,20,380,380,18.96,0.76,85.32
1701555660,12,3,6,21,381,381,18.96,0.76,85.32
1701555720,12,3,6,22,382,382,18.96,0.76,85.32
1701555780,12,3,6,23,383,383,18.96,0.76,85.32
1701555840,12,3,6,24,384,384,18.96,0.76,85.32
1701555900,12,3,6,25,385,385,18.96,0.76,85.32
1701555960,12,3,6,26,386,386,18.96,0.76,85.32
1701556020,12,3,6,27,387,387,18.96,0.76,85.32
1701556080,12,3,6,28,388,388,18.96,0.76,85.32
1701556140,12,3,6,29,389,389,18.96,0.76,85.32
1701556200,12,3,6,30,390,390,18.96,0.76,85.32
1701556260,12,3,6,31,391,391,18.96,0.76,85.32
1701556320,12,3,6,32,392,392,18.96,0.76,85.32
1701556380,12,3,6,33,393,393,18.96,0.76,85.32
1701556440,12,3,6,34,394,394,18.96,0.76,85.32
1701556500,12,3,6,35,395,395,18.96,0.76,85.32
1701556560,12,3,6,36,396,396,18.96,0.76,85.32
1701556620,12,3,6,37,397,397,18.96,0.76,85.32
1701556680,12,3,6,38,398,398,18.96,0.76,85.32
1701556740,12,3,6,39,399,399,18.96,0.76,85.32
1701556800,12,3,6,40,400,400,18.96,0.76,85.32
1701556860,12,3,6,41,401,401,18.96,0.76,85.32
1701556920,12,3,6,42,402,402,18.96,0.76,85.32
1701556980,12,3,6,43,403,403,18.96,0.76,85.32
1701557040,12,3,6,44,404,404,18.96,0.76,85.32
1701557100,12,3,6,45,405,405,18.86,0.74,86.06
1701557160,12,3,6,46,406,406,18.86,0.74,86.06
1701557220,12,3,6,47,407,407,18.86,0.74,86.06
1701557280,12,3,6,48,408,408,18.86,0.74,86.06
1701557340,12,3,6,49,409,409,18.86,0.74,86.06
1701557400,12,3,6,50,410,410,18.86,0.74,86.06
1701557460,12,3,6,51,411,411,18.86,0.74,86.06
1701557520,12,3,6,52,412,412,18.86,0.74,86.06
1701557580,12,3,6,53,413,413,18.86,0.74,86.06
1701557640,12,3,6,54,414,414,18.86,0.74,86.06
1701557700,12,3,6,55,415,415,18.86,0.74,86.06
1701557760,12,3,6,56,416,416,18.86,0.74,86.06
1701557820,12,3,6,57,417,417,18.86,0.74,86.06
1701557880,12,3,6,58,418,418,18.86,0.74,86.06
1701557940,12,3,6,59,419,419,18.86,0.74,86.06
1701558000,12,3,7,0,420,420,18.86,0.74,86.06
1701558060,12,3,7,1,421,421,18.86,0.74,86.06
1701558120,12,3,7,2,422,422,18.86,0.74,86.06
1701558180,12,3,7,3,423,423,18.86,0.74,86.06
1701558240,12,3,7,4,424,424,18.86,0.74,86.06
1701558300,12,3,7,5,425,425,18.86,0.74,86.06
1701558360,12,3,7,6,426,426,18.86,0.74,86.06
1701558420,12,3,7,7,427,427,18.86,0.74,86.06
1701558480,12,3,7,8,428,428,18.86,0.74,86.06
1701558540,12,3,7,9,429,429,18.86,0.74,86.06
1701558600,12,3,7,10,430,430,18.86,0.74,86.06
1701558660,12,3,7,11,431,431,18.86,0.74,86.06
1701558720,12,3,7,12,432,432,18.86,0.74,86.06
1701558780,12,3,7,13,433,433,18.86,0.74,86.06
1701558840,12,3,7,14,434,434,18.86,0.74,86.06
1701558900,12,3,7,15,435,435,18.75,0.72,86.80
1701558960,12,3,7,16,436,436,18.75,0.72,86.80
1701559020,12,3,7,17,437,437,18.75,0.72,86.80
1701559080,12,3,7,18,438,438,18.75,0.72,86.80
1701559140,12,3,7,19,439,439,18.75,0.72,86.80
1701559200,12,3,7,20,440,440,18.75,0.72,86.80
1701559260,12,3,7,21,441,441,18.75,0.72,86.80
1701559320,12,3,7,22,442,442,18.75,0.72,86.80
1701559380,12,3,7,23,443,443,18.75,0.72,86.80
1701559440,12,3,7,24,444,444,18.75,0.72,86.80
1701559500,12,3,7,25,445,445,18.75,0.72,86.80
1701559560,12,3,7,26,446,446,18.75,0.72,86.80
1701559620,12,3,7,27,447,447,18.75,0.72,86.80
1701559680,12,3,7,28,448,448,18.75,0.72,86.80
1701559740,12,3,7,29,449,449,18.75,0.72,86.80
1701559800,12,3,7,30,450,450,18.75,0.72,86.80
